"Age","Est. Eligible Population","General Roll","Māori Roll","Total Enrolled","Difference","% Enrolled","electorate_name"
"25 - 29",5813,4192,282,4474,1339,76.97,"Wigram"
"30 - 34",6762,4850,290,5140,1622,76.01,"Wigram"
"35 - 39",6674,5393,284,5677,997,85.06,"Wigram"
"40 - 44",5923,4848,197,5045,878,85.18,"Wigram"
"45 - 49",4724,4048,170,4218,506,89.29,"Wigram"
"50 - 54",4538,3802,138,3940,598,86.82,"Wigram"
"55 - 59",4244,3722,173,3895,349,91.78,"Wigram"
"60 - 64",3953,3508,130,3638,315,92.03,"Wigram"
"65 - 69",3576,3250,90,3340,236,93.4,"Wigram"
"70+",8966,8550,141,8691,275,96.93,"Wigram"
"Total",64385,50841,2205,53046,11339,82.39,"Wigram"
