"Age","Est. Eligible Population","General Roll","Māori Roll","Total Enrolled","Difference","% Enrolled","electorate_name"
"25 - 29",2840,2027,467,2494,346,87.82,"Coromandel"
"30 - 34",3916,2583,437,3020,896,77.12,"Coromandel"
"35 - 39",4128,2938,448,3386,742,82.03,"Coromandel"
"40 - 44",3969,2938,429,3367,602,84.83,"Coromandel"
"45 - 49",4005,3166,390,3556,449,88.79,"Coromandel"
"50 - 54",4931,3767,424,4191,740,84.99,"Coromandel"
"55 - 59",5581,4706,442,5148,433,92.24,"Coromandel"
"60 - 64",6670,5707,417,6124,546,91.81,"Coromandel"
"65 - 69",7035,6524,364,6888,147,97.91,"Coromandel"
"70+",18656,18518,506,19024,-368,101.97,"Coromandel"
"Total",65859,54888,4800,59688,6171,90.63,"Coromandel"
"18 - 24",17340,8177,557,8734,8606,50.37,"Dunedin"
"25 - 29",4628,4725,333,5058,-430,109.29,"Dunedin"
"30 - 34",4304,3736,229,3965,339,92.12,"Dunedin"
"35 - 39",4289,3910,199,4109,180,95.8,"Dunedin"
"40 - 44",4016,3715,178,3893,123,96.94,"Dunedin"
"45 - 49",3805,3521,155,3676,129,96.61,"Dunedin"
"50 - 54",4106,3708,143,3851,255,93.79,"Dunedin"
"55 - 59",4049,3915,127,4042,7,99.83,"Dunedin"
"60 - 64",4009,3755,106,3861,148,96.31,"Dunedin"
"65 - 69",3653,3592,81,3673,-20,100.55,"Dunedin"
"70+",7551,7791,105,7896,-345,104.57,"Dunedin"
"Total",61750,50545,2213,52758,8992,85.44,"Dunedin"
"18 - 24",8864,2460,2874,5334,3530,60.18,"East Cape"
"25 - 29",6037,2673,2625,5298,739,87.76,"East Cape"
"30 - 34",7202,3265,3013,6278,924,87.17,"East Cape"
"35 - 39",7229,3755,2664,6419,810,88.8,"East Cape"
"40 - 44",6390,3453,2364,5817,573,91.03,"East Cape"
"45 - 49",6324,3458,2321,5779,545,91.38,"East Cape"
"50 - 54",6808,3829,2344,6173,635,90.67,"East Cape"
"55 - 59",6854,4260,2152,6412,442,93.55,"East Cape"
"60 - 64",7372,4730,1997,6727,645,91.25,"East Cape"
"65 - 69",6929,5059,1859,6918,11,99.84,"East Cape"
"70+",14835,12397,2720,15117,-282,101.9,"East Cape"
"Total",84844,49339,26933,76272,8572,89.9,"East Cape"
"18 - 24",5753,3148,117,3265,2488,56.75,"East Coast Bays"
"25 - 29",4125,3466,153,3619,506,87.73,"East Coast Bays"
"30 - 34",4966,3884,108,3992,974,80.39,"East Coast Bays"
"35 - 39",5390,4666,95,4761,629,88.33,"East Coast Bays"
"40 - 44",6287,5652,64,5716,571,90.92,"East Coast Bays"
"45 - 49",5035,4779,83,4862,173,96.56,"East Coast Bays"
"50 - 54",4828,4377,76,4453,375,92.23,"East Coast Bays"
"55 - 59",4327,4233,58,4291,36,99.17,"East Coast Bays"
"60 - 64",4177,4018,52,4070,107,97.44,"East Coast Bays"
"65 - 69",3611,3430,36,3466,145,95.98,"East Coast Bays"
"70+",7906,8107,56,8163,-257,103.25,"East Coast Bays"
"Total",56405,49760,898,50658,5747,89.81,"East Coast Bays"
"18 - 24",8239,4676,165,4841,3398,58.76,"Epsom"
"25 - 29",6239,5636,212,5848,391,93.73,"Epsom"
"30 - 34",5516,4965,156,5121,395,92.84,"Epsom"
"35 - 39",5054,4679,98,4777,277,94.52,"Epsom"
"40 - 44",4815,4521,74,4595,220,95.43,"Epsom"
"45 - 49",4500,4187,85,4272,228,94.93,"Epsom"
"50 - 54",4736,4397,88,4485,251,94.7,"Epsom"
"55 - 59",4867,4929,59,4988,-121,102.49,"Epsom"
"60 - 64",4586,4722,69,4791,-205,104.47,"Epsom"
"65 - 69",3611,3685,48,3733,-122,103.38,"Epsom"
"70+",8044,8584,57,8641,-597,107.42,"Epsom"
"Total",60207,54981,1111,56092,4115,93.17,"Epsom"
"18 - 24",6925,3014,551,3565,3360,51.48,"Glendene"
"25 - 29",5643,3833,589,4422,1221,78.36,"Glendene"
"30 - 34",7179,5543,635,6178,1001,86.06,"Glendene"
"35 - 39",7458,6260,516,6776,682,90.86,"Glendene"
"40 - 44",6238,5433,409,5842,396,93.65,"Glendene"
"45 - 49",5248,4682,418,5100,148,97.18,"Glendene"
"50 - 54",4798,4200,379,4579,219,95.44,"Glendene"
"55 - 59",4459,3929,339,4268,191,95.72,"Glendene"
"60 - 64",4091,3815,293,4108,-17,100.42,"Glendene"
"65 - 69",3336,3201,225,3426,-90,102.7,"Glendene"
"70+",6373,6557,257,6814,-441,106.92,"Glendene"
"Total",61748,50467,4611,55078,6670,89.2,"Glendene"
"18 - 24",10247,4041,1172,5213,5034,50.87,"Hamilton East"
"25 - 29",6666,4146,1037,5183,1483,77.75,"Hamilton East"
"30 - 34",6916,4693,891,5584,1332,80.74,"Hamilton East"
"35 - 39",6586,5016,837,5853,733,88.87,"Hamilton East"
"40 - 44",5937,4619,617,5236,701,88.19,"Hamilton East"
"45 - 49",5288,4356,614,4970,318,93.99,"Hamilton East"
"50 - 54",5073,4084,551,4635,438,91.37,"Hamilton East"
"55 - 59",4453,4039,450,4489,-36,100.81,"Hamilton East"
"60 - 64",3974,3425,337,3762,212,94.67,"Hamilton East"
"65 - 69",3330,3054,280,3334,-4,100.12,"Hamilton East"
"70+",7494,7310,332,7642,-148,101.97,"Hamilton East"
"Total",65964,48783,7118,55901,10063,84.74,"Hamilton East"
"18 - 24",8143,3023,1222,4245,3898,52.13,"Hamilton West"
"25 - 29",7426,4308,1294,5602,1824,75.44,"Hamilton West"
"30 - 34",8602,5521,1268,6789,1813,78.92,"Hamilton West"
"35 - 39",8215,5880,1124,7004,1211,85.26,"Hamilton West"
"40 - 44",6429,4987,964,5951,478,92.56,"Hamilton West"
"45 - 49",5295,4085,807,4892,403,92.39,"Hamilton West"
"50 - 54",4903,3809,700,4509,394,91.96,"Hamilton West"
"55 - 59",4430,3696,664,4360,70,98.42,"Hamilton West"
"60 - 64",4104,3378,534,3912,192,95.32,"Hamilton West"
"65 - 69",3642,3224,392,3616,26,99.29,"Hamilton West"
"70+",8511,8186,478,8664,-153,101.8,"Hamilton West"
"Total",69700,50097,9447,59544,10156,85.43,"Hamilton West"
"18 - 24",7526,3227,623,3850,3676,51.16,"Henderson"
"25 - 29",5895,4093,653,4746,1149,80.51,"Henderson"
"30 - 34",7100,5411,699,6110,990,86.06,"Henderson"
"35 - 39",7126,6020,639,6659,467,93.45,"Henderson"
"40 - 44",5840,5137,479,5616,224,96.16,"Henderson"
"45 - 49",4971,4392,420,4812,159,96.8,"Henderson"
"50 - 54",4704,4091,382,4473,231,95.09,"Henderson"
"55 - 59",4312,3900,346,4246,66,98.47,"Henderson"
"60 - 64",3853,3417,287,3704,149,96.13,"Henderson"
"65 - 69",3170,2966,233,3199,-29,100.91,"Henderson"
"70+",6270,6404,240,6644,-374,105.96,"Henderson"
"Total",60767,49058,5001,54059,6708,88.96,"Henderson"
"18 - 24",6345,3541,562,4103,2242,64.67,"Hutt South"
"25 - 29",5069,3850,562,4412,657,87.04,"Hutt South"
"30 - 34",6584,5081,612,5693,891,86.47,"Hutt South"
"35 - 39",7068,5767,580,6347,721,89.8,"Hutt South"
"40 - 44",6516,5609,442,6051,465,92.86,"Hutt South"
"45 - 49",5800,5219,459,5678,122,97.9,"Hutt South"
"50 - 54",5704,4959,402,5361,343,93.99,"Hutt South"
"55 - 59",5308,4925,392,5317,-9,100.17,"Hutt South"
"60 - 64",4887,4391,325,4716,171,96.5,"Hutt South"
"65 - 69",4295,4127,259,4386,-91,102.12,"Hutt South"
